TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.2071068	140	0.1151235	0	
300	0.55	45	0	0.2071068	150	0.1151235	0	
300	0.55	45	0	0.2071068	160	0.1151235	0	
300	0.55	45	0	0.2071068	170	0.1151235	0	
300	0.55	45	0	0.2071068	180	0.1151235	0	
300	0.55	45	0	0.2071068	190	0.1151235	0	
300	0.55	45	0	0.2071068	200	0.1151235	0	
300	0.55	45	0	0.2071068	210	0.1151235	0	
300	0.55	45	0	0.2071068	220	0.1151235	0	
300	0.55	45	0	0.2071068	230	0.1151235	0	
300	0.55	45	0	0.2071068	240	0.1151235	0	
300	0.55	45	0	0.2071068	250	0.1151235	0	
300	0.55	45	0	0.2071068	260	0.1151235	0	
300	0.55	45	0	0.2071068	270	0.1151235	0	
300	0.55	45	0	0.2071068	280	0.1151235	0	
300	0.55	45	0	0.2071068	290	0.1151235	0	
300	0.55	45	0	0.2071068	300	0.1151235	0	
300	0.55	45	0	0.2071068	310	0.1151235	0	
300	0.55	45	0	0.2071068	320	0.1151235	0	
300	0.55	45	0	0.2071068	330	0.1151235	0	
300	0.55	45	0	0.2071068	340	0.1151235	0	
300	0.55	45	0	0.2071068	350	0.1151235	0	
300	0.55	45	0	0.1335303	0	0.115756	0	
300	0.55	45	0	0.1335303	10	0.115756	0	
300	0.55	45	0	0.1335303	20	0.115756	0	
300	0.55	45	0	0.1335303	30	0.115756	0	
300	0.55	45	0	0.1335303	40	0.115756	0	
300	0.55	45	0	0.1335303	50	0.115756	0	
300	0.55	45	0	0.1335303	60	0.115756	0	
300	0.55	45	0	0.1335303	70	0.115756	0	
300	0.55	45	0	0.1335303	80	0.115756	0	
300	0.55	45	0	0.1335303	90	0.115756	0	
300	0.55	45	0	0.1335303	100	0.115756	0	
300	0.55	45	0	0.1335303	110	0.115756	0	
